2026-05-19 11:59:16,587 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,587 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,587 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,587 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,587 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,587 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,587 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,587 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,587 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,588 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,589 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,589 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,589 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,589 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 11:59:16,589 | INFO | - | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 12:00:26,131 | INFO | - | apex.services.engine | Watchlist size: 50
2026-05-19 12:00:26,131 | INFO | - | apex.services.engine | Warm: priming polymarket + options + market for 50 symbols
2026-05-19 12:01:13,660 | ERROR | - | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: SMH"}}}
2026-05-19 12:01:14,555 | ERROR | - | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: SOXX"}}}
2026-05-19 12:01:15,521 | ERROR | - | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: XSD"}}}
